ID,Ph,Calcium(in ppm),Magnesium(in ppm),Chlorine(in ppm),Benzene(in ppb),THM(in ppb),Copper(in ppm),Nitrate(in ppm),Drinking Purpose,Ailments,Cement Industry Purpose,Irrigation Purpose
1,6.32199,40.46381,37.11756,125.76967,1.29794,4.26769,0.08466,47.55646,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
2,1.11703,489.13508,394.47085,2.82537,138.14883,225.7977,60.77358,7.40217,Yes,Safe,Yes,Yes
3,7.0739,144.91595,92.40137,66.91135,229.14941,318.90759,25.77226,209.05062,Yes,Safe,Yes,Yes
4,7.62976,54.05074,18.43207,2.63521,1.87751,2.64588,1.22626,9.19097,Yes,Safe,Yes,No
5,2.00241,378.86847,80.60606,347.01476,70.69219,274.25715,16.51665,360.53748,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
6,2.25887,480.41266,224.66012,138.55897,2.02823,215.41339,79.71261,375.32036,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
7,8.34289,43.36936,16.02324,3.18901,1.65355,3.31904,1.64572,4.64196,Yes,Safe,Yes,No
8,12.91251,178.35412,338.96475,344.27375,84.54522,255.87773,60.86019,485.47251,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
9,6.77627,11.53328,288.37608,287.67051,256.86103,63.02798,85.16868,134.50875,No,"Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
10,6.33898,35.41262,35.84237,55.93105,2.69782,0.79407,0.05019,136.74924,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
11,8.45722,255.35967,159.46536,44.42126,148.6651,101.1448,20.68181,241.33126,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
12,6.64319,34.37333,16.42136,2.64048,3.7653,0.0807,1.99754,5.62264,Yes,Safe,No,No
13,6.69846,45.68193,17.14311,3.94965,0.51426,5.61495,0.32412,8.15559,Yes,Safe,No,No
14,3.34169,65.94959,223.34659,469.8484,7.3371,79.00096,3.79347,281.81636,No,"Breathing Difficulty,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
15,8.50881,373.98756,335.6659,11.93509,34.38609,189.83068,18.78917,492.91088,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
16,8.08942,26.27221,26.06334,2.67776,0.72269,3.62334,1.1544,1.03523,Yes,Safe,Yes,No
17,7.75104,43.78323,13.55914,3.34622,2.32494,0.38205,0.31415,3.42311,Yes,Safe,Yes,No
18,7.63452,54.89553,27.57871,2.2383,1.91294,4.47983,0.35862,6.46782,Yes,Safe,Yes,No
19,9.29576,109.88727,90.07903,17.20257,195.38594,101.60428,0.77528,284.65835,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Methemoglobinemia",Yes,No
20,6.16891,55.45281,47.81374,118.21962,2.26196,6.57776,0.13621,119.62758,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
21,9.32071,211.16192,98.10002,468.53734,368.81767,237.69777,17.02545,282.10121,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
22,11.66793,109.11608,19.14665,41.1638,10.0529,241.49063,85.7121,209.74846,No,"Burns in mouth and throat,Stomach pain,Diarrhoea,Bladder Cancer,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
23,8.1761,30.11353,23.47286,2.22885,0.2312,4.54288,0.76576,4.02833,Yes,Safe,Yes,No
24,2.3871,454.01968,95.50556,245.53527,397.63349,95.49817,13.84893,109.4026,No,"Breathing Difficulty,Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
25,6.04026,47.6164,48.82186,120.99448,0.25119,3.14607,0.17911,128.1765,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
26,6.49847,43.72158,59.27191,57.37075,4.26845,7.46945,0.1073,52.49486,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
27,9.96751,423.60885,229.90033,116.09198,81.49707,394.07675,93.43645,354.05754,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
28,7.91528,56.03048,22.63634,2.70286,4.99759,1.04445,0.47632,6.75936,Yes,Safe,Yes,No
29,5.59229,39.31081,36.36729,146.64257,3.22473,7.63131,0.07585,125.45254,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
30,5.60437,40.07195,36.04607,80.0859,0.08269,9.71254,0.01267,122.74068,No,"Breathing Difficulty,Nausea,Diarrhoea,Methemoglobinemia",No,Yes
31,5.44124,35.58868,94.40513,155.2691,4.37533,9.43867,17.37934,68.79858,No,"Breathing Difficulty,Nausea,Diarrhoea,Diarrhoea,Methemoglobinemia",No,No
32,7.42336,39.1299,29.31095,3.73611,3.09117,4.99645,0.85401,2.84723,Yes,Safe,Yes,No
33,9.7353,208.70994,191.80173,16.02002,51.38897,57.69533,15.43302,256.14678,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",Yes,No
34,0.19616,381.77376,31.18068,308.38136,220.27665,117.89792,28.0969,100.62487,Yes,Safe,Yes,Yes
35,8.49111,25.9113,22.69768,3.16008,4.86826,7.82464,0.47486,7.30327,Yes,Safe,Yes,No
36,6.71723,393.70688,82.33061,430.63339,179.18803,285.4259,49.95521,372.80403,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
37,6.61668,431.71001,330.66025,52.67102,144.01221,265.53861,31.05398,455.21976,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
38,8.04675,59.01347,17.10193,3.94781,3.09873,1.36893,0.29106,3.20516,Yes,Safe,Yes,No
39,7.6705,74.36593,25.56297,3.73948,2.96999,2.25001,1.3793,0.45862,Yes,Safe,Yes,No
40,11.68688,229.99115,230.03085,177.32629,5.94142,372.13178,84.83004,282.31073,No,"Burns in mouth and throat,Stomach pain,Nausea,Diarrhoea,Leukaemia,Anaemia,Bladder Cancer,Diarrhoea,Methemoglobinemia",No,No
